elevation,system:index,name
4,0,node0
2,1,node1
691,2,node2
1,3,node3
435,4,node4
7,5,node5
635,6,node6
22,7,node7
25,8,node8
12,9,node9
40,10,node10
70,11,node11
49,12,node12
49,13,node13
59,14,node14
10,15,node15
55,16,node16
19,17,node17
14,18,node18
42,19,node19
30,20,node20
53,21,node21
22,22,node22
32,23,node23
31,24,node24
29,25,node25
21,26,node26
31,27,node27
25,28,node28
19,29,node29
20,30,node30
20,31,node31
27,32,node32
55,33,node33
23,34,node34
23,35,node35
45,36,node36
38,37,node37
24,38,node38
30,39,node39
25,40,node40
11,41,node41
14,42,node42
7,43,node43
7,44,node44
3,45,node45
10,46,node46
10,47,node47
4,48,node48
11,49,node49
4,50,node50
1,51,node51
3,52,node52
7,53,node53
7,54,node54
2,55,node55
-1,56,node56
8,57,node57
7,58,node58
7,59,node59
6,60,node60
2,61,node61
1,62,node62
10,63,node63
8,64,node64
0,65,node65
6,66,node66
3,67,node67
6,68,node68
3,69,node69
4,70,node70
3,71,node71
36,72,node72
33,73,node73
38,74,node74
42,75,node75
40,76,node76
217,77,node77
27,78,node78
41,79,node79
36,80,node80
42,81,node81
167,82,node82
37,83,node83
33,84,node84
192,85,node85
30,86,node86
28,87,node87
42,88,node88
26,89,node89
40,90,node90
36,91,node91
45,92,node92
296,93,node93
62,94,node94
51,95,node95
46,96,node96
26,97,node97
13,98,node98
27,99,node99
17,100,node100
39,101,node101
286,102,node102
17,103,node103
4,104,node104
6,105,node105
20,106,node106
3,107,node107
4,108,node108
11,109,node109
4,110,node110
2,111,node111
25,112,node112
25,113,node113
19,114,node114
8,115,node115
11,116,node116
29,117,node117
7,118,node118
22,119,node119
12,120,node120
467,121,node121
816,122,node122
15,123,node123
14,124,node124
6,125,node125
935,126,node126
17,127,node127
44,128,node128
14,129,node129
27,130,node130
10,131,node131
23,132,node132
46,133,node133
8,134,node134
231,135,node135
13,136,node136
15,137,node137
22,138,node138
20,139,node139
15,140,node140
37,141,node141
11,142,node142
6,143,node143
7,144,node144
7,145,node145
4,146,node146
8,147,node147
18,148,node148
12,149,node149
8,150,node150
3,151,node151
27,152,node152
32,153,node153
18,154,node154
19,155,node155
21,156,node156
22,157,node157
16,158,node158
18,159,node159
78,160,node160
189,161,node161
48,162,node162
66,163,node163
127,164,node164
61,165,node165
58,166,node166
80,167,node167
51,168,node168
145,169,node169
87,170,node170
44,171,node171
62,172,node172
94,173,node173
60,174,node174
96,175,node175
54,176,node176
39,177,node177
108,178,node178
79,179,node179
90,180,node180
49,181,node181
59,182,node182
53,183,node183
325,184,node184
180,185,node185
55,186,node186
433,187,node187
68,188,node188
210,189,node189
297,190,node190
64,191,node191
25,192,node192
32,193,node193
38,194,node194
20,195,node195
36,196,node196
31,197,node197
25,198,node198
91,199,node199
44,200,node200
29,201,node201
43,202,node202
33,203,node203
33,204,node204
28,205,node205
38,206,node206
39,207,node207
39,208,node208
41,209,node209
53,210,node210
56,211,node211
61,212,node212
36,213,node213
76,214,node214
58,215,node215
45,216,node216
52,217,node217
57,218,node218
57,219,node219
51,220,node220
49,221,node221
52,222,node222
45,223,node223
32,224,node224
79,225,node225
65,226,node226
77,227,node227
53,228,node228
47,229,node229
65,230,node230
49,231,node231
43,232,node232
53,233,node233
36,234,node234
51,235,node235
47,236,node236
137,237,node237
40,238,node238
87,239,node239
37,240,node240
108,241,node241
40,242,node242
73,243,node243
29,244,node244
51,245,node245
190,246,node246
44,247,node247
45,248,node248
52,249,node249
49,250,node250
48,251,node251
41,252,node252
57,253,node253
39,254,node254
45,255,node255
44,256,node256
57,257,node257
70,258,node258
47,259,node259
117,260,node260
44,261,node261
47,262,node262
65,263,node263
65,264,node264
134,265,node265
47,266,node266
47,267,node267
72,268,node268
46,269,node269
96,270,node270
82,271,node271
47,272,node272
52,273,node273
48,274,node274
59,275,node275
54,276,node276
77,277,node277
64,278,node278
56,279,node279
36,280,node280
52,281,node281
36,282,node282
66,283,node283
44,284,node284
46,285,node285
41,286,node286
31,287,node287
6,288,node288
14,289,node289
1,290,node290
11,291,node291
3,292,node292
8,293,node293
9,294,node294
5,295,node295
10,296,node296
10,297,node297
5,298,node298
4,299,node299
6,300,node300
8,301,node301
22,302,node302
3,303,node303
2,304,node304
3,305,node305
12,306,node306
27,307,node307
7,308,node308
7,309,node309
9,310,node310
13,311,node311
25,312,node312
8,313,node313
8,314,node314
4,315,node315
5,316,node316
11,317,node317
7,318,node318
12,319,node319
10,320,node320
1,321,node321
4,322,node322
5,323,node323
13,324,node324
7,325,node325
10,326,node326
18,327,node327
14,328,node328
9,329,node329
6,330,node330
30,331,node331
0,332,node332
5,333,node333
9,334,node334
7,335,node335
10,336,node336
16,337,node337
19,338,node338
9,339,node339
8,340,node340
8,341,node341
6,342,node342
7,343,node343
4,344,node344
0,345,node345
0,346,node346
7,347,node347
0,348,node348
0,349,node349
0,350,node350
0,351,node351
24,352,node352
7,353,node353
6,354,node354
9,355,node355
10,356,node356
12,357,node357
14,358,node358
20,359,node359
6,360,node360
6,361,node361
7,362,node362
9,363,node363
8,364,node364
5,365,node365
6,366,node366
5,367,node367
10,368,node368
7,369,node369
5,370,node370
6,371,node371
6,372,node372
6,373,node373
5,374,node374
9,375,node375
8,376,node376
7,377,node377
4,378,node378
8,379,node379
3,380,node380
4,381,node381
4,382,node382
9,383,node383
10,384,node384
8,385,node385
7,386,node386
6,387,node387
7,388,node388
8,389,node389
4,390,node390
7,391,node391
6,392,node392
10,393,node393
10,394,node394
6,395,node395
8,396,node396
5,397,node397
4,398,node398
6,399,node399
5,400,node400
7,401,node401
11,402,node402
6,403,node403
4,404,node404
5,405,node405
10,406,node406
4,407,node407
7,408,node408
4,409,node409
8,410,node410
6,411,node411
5,412,node412
11,413,node413
7,414,node414
9,415,node415
17,416,node416
22,417,node417
17,418,node418
21,419,node419
21,420,node420
38,421,node421
21,422,node422
49,423,node423
19,424,node424
5,425,node425
19,426,node426
27,427,node427
11,428,node428
10,429,node429
4,430,node430
20,431,node431
20,432,node432
14,433,node433
13,434,node434
15,435,node435
11,436,node436
18,437,node437
21,438,node438
14,439,node439
11,440,node440
8,441,node441
10,442,node442
12,443,node443
9,444,node444
11,445,node445
8,446,node446
7,447,node447
8,448,node448
8,449,node449
7,450,node450
6,451,node451
7,452,node452
6,453,node453
9,454,node454
9,455,node455
7,456,node456
9,457,node457
13,458,node458
6,459,node459
8,460,node460
5,461,node461
10,462,node462
6,463,node463
1387,464,node464
1500,465,node465
1435,466,node466
1367,467,node467
1337,468,node468
1505,469,node469
1481,470,node470
1256,471,node471
1206,472,node472
1496,473,node473
1610,474,node474
1561,475,node475
1455,476,node476
1460,477,node477
1416,478,node478
1506,479,node479
1467,480,node480
1464,481,node481
1505,482,node482
1460,483,node483
1318,484,node484
1332,485,node485
1531,486,node486
1255,487,node487
1557,488,node488
1467,489,node489
1460,490,node490
1458,491,node491
1478,492,node492
1453,493,node493
1483,494,node494
1499,495,node495
1556,496,node496
1362,497,node497
1472,498,node498
1627,499,node499
1731,500,node500
1385,501,node501
1452,502,node502
1623,503,node503
1188,504,node504
1161,505,node505
1256,506,node506
1014,507,node507
1114,508,node508
1244,509,node509
922,510,node510
1257,511,node511
12,512,node512
13,513,node513
15,514,node514
13,515,node515
16,516,node516
14,517,node517
15,518,node518
16,519,node519
44,520,node520
46,521,node521
46,522,node522
50,523,node523
46,524,node524
46,525,node525
47,526,node526
50,527,node527
45,528,node528
44,529,node529
50,530,node530
50,531,node531
50,532,node532
46,533,node533
44,534,node534
50,535,node535
44,536,node536
37,537,node537
35,538,node538
8,539,node539
12,540,node540
8,541,node541
14,542,node542
28,543,node543
13,544,node544
16,545,node545
13,546,node546
12,547,node547
14,548,node548
12,549,node549
14,550,node550
14,551,node551
13,552,node552
15,553,node553
17,554,node554
15,555,node555
16,556,node556
15,557,node557
16,558,node558
15,559,node559
8,560,node560
5,561,node561
10,562,node562
11,563,node563
6,564,node564
10,565,node565
31,566,node566
10,567,node567
3,568,node568
9,569,node569
13,570,node570
15,571,node571
7,572,node572
5,573,node573
17,574,node574
7,575,node575
15,576,node576
16,577,node577
15,578,node578
12,579,node579
13,580,node580
11,581,node581
17,582,node582
12,583,node583
29,584,node584
8,585,node585
2,586,node586
11,587,node587
10,588,node588
4,589,node589
7,590,node590
17,591,node591
6,592,node592
6,593,node593
2,594,node594
7,595,node595
8,596,node596
6,597,node597
6,598,node598
4,599,node599
68,600,node600
25,601,node601
11,602,node602
40,603,node603
29,604,node604
6,605,node605
8,606,node606
13,607,node607
10,608,node608
49,609,node609
31,610,node610
55,611,node611
24,612,node612
8,613,node613
10,614,node614
8,615,node615
8,616,node616
10,617,node617
33,618,node618
17,619,node619
10,620,node620
13,621,node621
18,622,node622
13,623,node623
21,624,node624
5,625,node625
21,626,node626
19,627,node627
48,628,node628
14,629,node629
26,630,node630
10,631,node631
12,632,node632
9,633,node633
15,634,node634
24,635,node635
13,636,node636
15,637,node637
