date,negeri,code,daerah,kawasan_banjir,latitude,longitude,kedalaman_banjir_max,day,month,year
29/4/2020,Sarawak,SRW,TANGKAK,2. Kg Parit Bengkok,1.5203,103.9244,0.5,29,4,2020
10/5/2020,Sarawak,SRW,KLUANG,Kg Bentong,2.0475,103.2973,0.5,10,5,2020
10/5/2020,Sarawak,SRW,KLUANG,Jalan Batu Pahat (Petron Tmn Berlian),2.0173,103.296,0.5,10,5,2020
10/5/2020,Sarawak,SRW,KLUANG,Taman Intan,2.0147,103.3009,0.5,10,5,2020
10/5/2020,Sarawak,SRW,KLUANG,Taman Emas,2.0205,103.2986,0.5,10,5,2020
10/5/2020,Sarawak,SRW,TANGKAK,Kg Parit Gelugor,2.1702,102.5465,0.5,10,5,2020
12/5/2020,Sarawak,SRW,KLUANG,Kg Bentong,2.0499,103.2973,0.5,12,5,2020
12/5/2020,Sarawak,SRW,KLUANG,Jalan Kluang-Batu Pahat,2.0191,103.3015,0.3,12,5,2020
13/5/2020,Sarawak,SRW,PONTIAN,Kg. Paya Embun,1.5899,103.4719,0.3,13,5,2020
13/5/2020,Sarawak,SRW,PONTIAN,"Lorong Mohsen, Kayu Ara Pasong",1.5659,103.4119,0.5,13,5,2020
13/5/2020,Sarawak,SRW,PONTIAN,"Lorong IKBN, Pulai Sebatang",1.572,103.3522,0.5,13,5,2020
13/5/2020,Sarawak,SRW,JOHOR BAHRU,"Jalan Tawakal, Kg. Melayu Kangkar Pulai",1.5557,103.5893,0.5,13,5,2020
4/6/2020,Sarawak,SRW,JOHOR BAHRU,"Jalan Rosmerah, Johor Jaya",1.5308,103.7954,0.4,4,6,2020
4/6/2020,Sarawak,SRW,JOHOR BAHRU,Kg Plentong,1.5144,103.8116,0.4,4,6,2020
4/6/2020,Sarawak,SRW,JOHOR BAHRU,"Jalan Johor Bahru Ke Ulu Tiram, Desa
Cemerlang.",1.5513,103.8009,0.4,4,6,2020
4/6/2020,Sarawak,SRW,KOTA TINGGI,Kampung Sri Delima,1.7372,103.8194,0.3,4,6,2020
20/6/2020,Sarawak,SRW,JOHOR BAHRU,Jalan Gelang Patah – Lima Kedai,1.5011,103.6189,0.4,20,6,2020
20/6/2020,Sarawak,SRW,JOHOR BAHRU,"Kg Baru Muafakat, Kg. Wawasan & Taman
Syed Idrus",1.4415,103.6039,0.2,20,6,2020
20/6/2020,Sarawak,SRW,TANGKAK,Taman Harmoni,2.0606,102.5528,0.3,20,6,2020
20/6/2020,Sarawak,SRW,TANGKAK,Lorong Penghulu Long,2.0756,102.5514,0.3,20,6,2020
20/6/2020,Sarawak,SRW,TANGKAK,Kampung Tanjung Gading Darat,2.1008,102.5297,0.3,20,6,2020
20/6/2020,Sarawak,SRW,PONTIAN,1.Pt. Wak Jalal,1.618,103.2979,0.3,20,6,2020
20/6/2020,Sarawak,SRW,PONTIAN,2. Pt. Rambai,1.6198,103.316,0.3,20,6,2020
20/6/2020,Sarawak,SRW,PONTIAN,2. Pt. Kahar,1.6235,103.3316,0.3,20,6,2020
20/6/2020,Sarawak,SRW,PONTIAN,3. Pt. Puteri Menangis,1.6617,103.304,0.3,20,6,2020
20/6/2020,Sarawak,SRW,PONTIAN,4. Pt. Sulaiman,1.6253,103.3246,0.3,20,6,2020
20/6/2020,Sarawak,SRW,PONTIAN,5. Pt. Kudus,1.5113,103.5042,0.3,20,6,2020
20/6/2020,Sarawak,SRW,PONTIAN,6. Pt. Basilam,1.5707,103.4198,0.3,20,6,2020
20/6/2020,Sarawak,SRW,PONTIAN,7. Kg. Paya Embun,1.57,103.5087,0.3,20,6,2020
20/6/2020,Sarawak,SRW,PONTIAN,8. Pt. Selangor,1.5238,103.4435,0.3,20,6,2020
20/6/2020,Sarawak,SRW,PONTIAN,9. Kg. Jasa Sepakat,1.5378,103.4739,0.3,20,6,2020
20/6/2020,Sarawak,SRW,PONTIAN,10. Kg. Bukit Panjang,1.5378,103.4739,0.3,20,6,2020
20/6/2020,Sarawak,SRW,PONTIAN,11. Kg. Seri Bunian,1.4914,103.4471,0.3,20,6,2020
20/6/2020,Sarawak,SRW,PONTIAN,10. Kg. Pt. Pasir,1.5268,103.4263,0.3,20,6,2020
20/6/2020,Sarawak,SRW,PONTIAN,12. Pt. Bt. 26,1.4968,103.5231,0.3,20,6,2020
20/6/2020,Sarawak,SRW,PONTIAN,13. Kg. Ulu Pulai,1.4798,103.564,0.5,20,6,2020
20/6/2020,Sarawak,SRW,BATU PAHAT,Taman Pelangi,1.8852,102.9663,0.4,20,6,2020
20/6/2020,Sarawak,SRW,BATU PAHAT,Taman Sri Wangsa,1.8852,102.9663,0.4,20,6,2020
20/6/2020,Sarawak,SRW,BATU PAHAT,Kampung Parit Hj Ali,1.882,102.9716,0.4,20,6,2020
20/6/2020,Sarawak,SRW,BATU PAHAT,Parit Haji Sidek,1.8808,102.9751,0.4,20,6,2020
20/6/2020,Sarawak,SRW,BATU PAHAT,Parit Besar,1.8846,102.9663,0.4,20,6,2020
20/6/2020,Sarawak,SRW,BATU PAHAT,Kampung Parit Hj Salleh,1.8736,102.987,0.4,20,6,2020
20/6/2020,Sarawak,SRW,BATU PAHAT,Parit Jayus 3 dan 4,2.067,102.9426,0.4,20,6,2020
20/6/2020,Sarawak,SRW,BATU PAHAT,Parit Air Putih,2.0469,102.9043,0.4,20,6,2020
20/6/2020,Sarawak,SRW,BATU PAHAT,Parit Bintang,1.8852,102.9663,0.4,20,6,2020
20/6/2020,Sarawak,SRW,BATU PAHAT,Kampung Dalam Peserai,1.8569,102.9062,0.4,20,6,2020
4/6/2020,Sarawak,SRW,JOHOR BAHRU,"Jalan Rosmerah, Johor Jaya",1.5308,103.7954,0.4,4,6,2020
4/6/2020,Sarawak,SRW,JOHOR BAHRU,Kg Plentong,1.5144,103.8116,0.4,4,6,2020
4/6/2020,Sarawak,SRW,JOHOR BAHRU,"Jalan Johor Bahru Ke Ulu Tiram, Desa
Cemerlang.",1.5513,103.8009,0.4,4,6,2020
23/6/2020,Sarawak,SRW,KULAI,Kampung Melayu Bukit Batu,1.7292,103.4368,0.5,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Pt. Abd. Rahman Laut,1.6318,103.2295,0.5,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Pt. Sayang,1.6377,103.2626,0.5,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Pt. Wak Jalal,1.618,103.2979,0.3,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Pt. Puteri Menangis,1.6617,103.304,0.5,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,"Pt. Baran, Sanglang",1.6023,103.2838,0.3,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Pt. Panjang,1.6126,103.3505,0.3,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Lorong Mohsen,1.5763,103.3907,0.5,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,"Pt. Baran, Api-api",1.6163,103.2973,0.3,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Pt. 4/15,1.623,103.3679,0.3,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Pt. 4/8,1.5191,103.3737,0.3,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Pt. Kudus,1.5099,103.4099,0.3,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Pt. Semerah,1.5008,103.3962,0.3,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Sri Gambut,1.6237,103.4625,0.5,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Pt. Mat Yakin,1.4937,103.444,0.3,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Pt Pak Intan,1.6076,103.4117,0.3,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Pt Jerman,1.4167,103.4471,0.3,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Penerok,1.3771,103.4403,0.3,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Telok Kerang,1.4147,103.4224,0.3,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Sungai Bunyi,1.4756,103.4195,0.5,23,6,2020
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Tenggayun,1.4625,103.4257,0.3,23,6,2020
