date,negeri,code,daerah,kawasan_banjir,latitude,longitude,kedalaman_banjir_max,day,month,year,line_check,geometry
29/4/2020,Sarawak,SRW,TANGKAK,2. Kg Parit Bengkok,1.5203,103.9244,0.5,29,4,2020,1,POINT (103.9244 1.5203)
10/5/2020,Sarawak,SRW,KLUANG,Kg Bentong,2.0475,103.2973,0.5,10,5,2020,1,POINT (103.2973 2.0475)
10/5/2020,Sarawak,SRW,KLUANG,Jalan Batu Pahat (Petron Tmn Berlian),2.0173,103.296,0.5,10,5,2020,1,POINT (103.296 2.0173)
10/5/2020,Sarawak,SRW,KLUANG,Taman Intan,2.0147,103.3009,0.5,10,5,2020,1,POINT (103.3009 2.0147)
10/5/2020,Sarawak,SRW,KLUANG,Taman Emas,2.0205,103.2986,0.5,10,5,2020,1,POINT (103.2986 2.0205)
10/5/2020,Sarawak,SRW,TANGKAK,Kg Parit Gelugor,2.1702,102.5465,0.5,10,5,2020,1,POINT (102.5465 2.1702)
12/5/2020,Sarawak,SRW,KLUANG,Kg Bentong,2.0499,103.2973,0.5,12,5,2020,1,POINT (103.2973 2.0499)
12/5/2020,Sarawak,SRW,KLUANG,Jalan Kluang-Batu Pahat,2.0191,103.3015,0.3,12,5,2020,1,POINT (103.3015 2.0191)
13/5/2020,Sarawak,SRW,PONTIAN,Kg. Paya Embun,1.5899,103.4719,0.3,13,5,2020,1,POINT (103.4719 1.5899)
13/5/2020,Sarawak,SRW,PONTIAN,"Lorong Mohsen, Kayu Ara Pasong",1.5659,103.4119,0.5,13,5,2020,1,POINT (103.4119 1.5659)
13/5/2020,Sarawak,SRW,PONTIAN,"Lorong IKBN, Pulai Sebatang",1.572,103.3522,0.5,13,5,2020,1,POINT (103.3522 1.572)
13/5/2020,Sarawak,SRW,JOHOR BAHRU,"Jalan Tawakal, Kg. Melayu Kangkar Pulai",1.5557,103.5893,0.5,13,5,2020,1,POINT (103.5893 1.5557)
4/6/2020,Sarawak,SRW,JOHOR BAHRU,"Jalan Rosmerah, Johor Jaya",1.5308,103.7954,0.4,4,6,2020,1,POINT (103.7954 1.5308)
4/6/2020,Sarawak,SRW,JOHOR BAHRU,Kg Plentong,1.5144,103.8116,0.4,4,6,2020,1,POINT (103.8116 1.5144)
4/6/2020,Sarawak,SRW,JOHOR BAHRU,"Jalan Johor Bahru Ke Ulu Tiram, Desa
Cemerlang.",1.5513,103.8009,0.4,4,6,2020,1,POINT (103.8009 1.5513)
4/6/2020,Sarawak,SRW,KOTA TINGGI,Kampung Sri Delima,1.7372,103.8194,0.3,4,6,2020,1,POINT (103.8194 1.7372)
20/6/2020,Sarawak,SRW,JOHOR BAHRU,Jalan Gelang Patah – Lima Kedai,1.5011,103.6189,0.4,20,6,2020,1,POINT (103.6189 1.5011)
20/6/2020,Sarawak,SRW,JOHOR BAHRU,"Kg Baru Muafakat, Kg. Wawasan & Taman
Syed Idrus",1.4415,103.6039,0.2,20,6,2020,1,POINT (103.6039 1.4415)
20/6/2020,Sarawak,SRW,TANGKAK,Taman Harmoni,2.0606,102.5528,0.3,20,6,2020,1,POINT (102.5528 2.0606)
20/6/2020,Sarawak,SRW,TANGKAK,Lorong Penghulu Long,2.0756,102.5514,0.3,20,6,2020,1,POINT (102.5514 2.0756)
20/6/2020,Sarawak,SRW,TANGKAK,Kampung Tanjung Gading Darat,2.1008,102.5297,0.3,20,6,2020,1,POINT (102.5297 2.1008)
20/6/2020,Sarawak,SRW,PONTIAN,1.Pt. Wak Jalal,1.618,103.2979,0.3,20,6,2020,1,POINT (103.2979 1.618)
20/6/2020,Sarawak,SRW,PONTIAN,2. Pt. Rambai,1.6198,103.316,0.3,20,6,2020,1,POINT (103.316 1.6198)
20/6/2020,Sarawak,SRW,PONTIAN,2. Pt. Kahar,1.6235,103.3316,0.3,20,6,2020,1,POINT (103.3316 1.6235)
20/6/2020,Sarawak,SRW,PONTIAN,3. Pt. Puteri Menangis,1.6617,103.304,0.3,20,6,2020,1,POINT (103.304 1.6617)
20/6/2020,Sarawak,SRW,PONTIAN,4. Pt. Sulaiman,1.6253,103.3246,0.3,20,6,2020,1,POINT (103.3246 1.6253)
20/6/2020,Sarawak,SRW,PONTIAN,5. Pt. Kudus,1.5113,103.5042,0.3,20,6,2020,1,POINT (103.5042 1.5113)
20/6/2020,Sarawak,SRW,PONTIAN,6. Pt. Basilam,1.5707,103.4198,0.3,20,6,2020,1,POINT (103.4198 1.5707)
20/6/2020,Sarawak,SRW,PONTIAN,7. Kg. Paya Embun,1.57,103.5087,0.3,20,6,2020,1,POINT (103.5087 1.57)
20/6/2020,Sarawak,SRW,PONTIAN,8. Pt. Selangor,1.5238,103.4435,0.3,20,6,2020,1,POINT (103.4435 1.5238)
20/6/2020,Sarawak,SRW,PONTIAN,9. Kg. Jasa Sepakat,1.5378,103.4739,0.3,20,6,2020,1,POINT (103.4739 1.5378)
20/6/2020,Sarawak,SRW,PONTIAN,10. Kg. Bukit Panjang,1.5378,103.4739,0.3,20,6,2020,1,POINT (103.4739 1.5378)
20/6/2020,Sarawak,SRW,PONTIAN,11. Kg. Seri Bunian,1.4914,103.4471,0.3,20,6,2020,1,POINT (103.4471 1.4914)
20/6/2020,Sarawak,SRW,PONTIAN,10. Kg. Pt. Pasir,1.5268,103.4263,0.3,20,6,2020,1,POINT (103.4263 1.5268)
