nilai_hujan_max,tempoh_hujan,tempoh_ulang,latitude,longitude
37,1,NORMAL,1.5203,103.9244
2,1,NORMAL,2.0475,103.2973
65,3,NORMAL,2.0173,103.296
65,3,NORMAL,2.0147,103.3009
65,3,NORMAL,2.0205,103.2986
65,3,NORMAL,2.1702,102.5465
126,3,25,2.0499,103.2973
111,3,17,2.0191,103.3015
105,3,10,1.5899,103.4719
12,3,NORMAL,1.5659,103.4119
103,2,12,1.572,103.3522
12,3,NORMAL,1.5557,103.5893
57,1,2,1.5308,103.7954
82,3,2,1.5144,103.8116
82,3,2,1.5513,103.8009
34,3,NORMAL,1.7372,103.8194
67,3,NORMAL,1.5011,103.6189
118,3,24,1.4415,103.6039
118,3,6,2.0606,102.5528
49,3,NORMAL,2.0756,102.5514
49,3,NORMAL,2.1008,102.5297
72,1,7,1.618,103.2979
67,3,NORMAL,1.6198,103.316
39,3,NORMAL,1.6235,103.3316
52,3,2,1.6617,103.304
39,3,NORMAL,1.6253,103.3246
65,3,NORMAL,1.5113,103.5042
39,3,NORMAL,1.5707,103.4198
39,3,NORMAL,1.57,103.5087
39,3,NORMAL,1.5238,103.4435
52,3,2,1.5378,103.4739
52,3,2,1.5378,103.4739
39,3,NORMAL,1.4914,103.4471
39,3,NORMAL,1.5268,103.4263
39,3,NORMAL,1.4968,103.5231
39,3,NORMAL,1.4798,103.564
87,3,3,1.8852,102.9663
87,3,3,1.8852,102.9663
87,3,3,1.882,102.9716
87,3,3,1.8808,102.9751
87,3,3,1.8846,102.9663
87,3,3,1.8736,102.987
87,3,3,2.067,102.9426
87,3,3,2.0469,102.9043
87,3,3,1.8852,102.9663
87,3,3,1.8569,102.9062
57,1,2,1.5308,103.7954
82,3,2,1.5144,103.8116
82,3,2,1.5513,103.8009
82,3,2,1.7292,103.4368
141,3,78,1.6318,103.2295
72,1,7,1.6377,103.2626
72,1,7,1.618,103.2979
52,3,2,1.6617,103.304
72,1,7,1.6023,103.2838
72,1,7,1.6126,103.3505
72,1,7,1.5763,103.3907
72,1,7,1.6163,103.2973
72,1,7,1.623,103.3679
