latitude,longitude,region,state,postcode,geometry
6.402858214,100.0987772,Kangar,Perlis,1000,POINT (100.098777194727 6.402858213662168)
6.365790268,100.1884449,Kangar,Perlis,1000,POINT (100.1884449279714 6.365790268072505)
6.360279611,100.2123951,Kangar,Perlis,1000,POINT (100.2123950514647 6.360279611272917)
6.557335216,100.3141054,Kangar,Perlis,1000,POINT (100.31410538051875 6.557335215910892)
6.39577126,100.230483,Kangar,Perlis,1000,POINT (100.23048302195971 6.395771260275012)
6.543708643,100.1842565,Kangar,Perlis,1000,POINT (100.18425647048224 6.543708643133975)
6.281460539,100.2755694,Kangar,Perlis,1000,POINT (100.2755693689718 6.281460538917854)
6.373548572,100.1084176,Kangar,Perlis,1000,POINT (100.10841762006258 6.373548572443314)
6.518879502,100.157355,Kangar,Perlis,1007,POINT (100.15735496560468 6.518879502107166)
6.398574398,100.3311697,Kangar,Perlis,1007,POINT (100.33116967299544 6.398574397837669)
6.477354629,100.1978172,Kangar,Perlis,1007,POINT (100.19781719508278 6.477354629413509)
6.364384685,100.2249121,Kangar,Perlis,1007,POINT (100.2249121330757 6.364384685299049)
6.381276074,100.2580383,Kangar,Perlis,1007,POINT (100.25803832584494 6.381276073942773)
6.537961034,100.1532279,Kangar,Perlis,1007,POINT (100.1532278874763 6.537961033522894)
6.368998379,100.1483007,Kangar,Perlis,1007,POINT (100.14830073218477 6.368998378603785)
6.574186525,100.2471811,Kangar,Perlis,1007,POINT (100.24718114857 6.574186524593785)
6.596668337,100.0404794,Kangar,Perlis,1009,POINT (100.0404793833822 6.596668336849557)
6.423509699,100.0627484,Kangar,Perlis,1009,POINT (100.06274836554992 6.423509698786651)
6.571957133,100.0618878,Kangar,Perlis,1009,POINT (100.06188784746556 6.571957132834506)
6.539548472,100.2218288,Kangar,Perlis,1009,POINT (100.22182881385078 6.539548471830634)
6.368113427,100.0865417,Kangar,Perlis,1009,POINT (100.08654172195376 6.368113426744916)
6.488334585,100.3405445,Kangar,Perlis,1009,POINT (100.34054452525238 6.4883345850702)
6.434766358,100.2503442,Kangar,Perlis,1009,POINT (100.25034420022632 6.434766358288928)
6.360628356,100.2093193,Kangar,Perlis,1009,POINT (100.20931933544004 6.360628356037465)
6.343252078,100.1393846,Kangar,Perlis,1500,POINT (100.13938456364684 6.343252077970158)
6.389561027,100.284858,Kangar,Perlis,1500,POINT (100.28485800985024 6.389561027455484)
6.557485859,100.1436023,Kangar,Perlis,1500,POINT (100.14360225812808 6.557485858816047)
6.431448906,100.2938355,Kangar,Perlis,1500,POINT (100.29383554136228 6.43144890576)
6.546528238,100.0402391,Kangar,Perlis,1500,POINT (100.04023909321155 6.54652823795903)
6.520336288,100.3478678,Kangar,Perlis,1500,POINT (100.34786779050316 6.520336287890792)
6.309057386,100.2196543,Kangar,Perlis,1500,POINT (100.21965427852082 6.309057386460461)
6.45382807,100.1436957,Kangar,Perlis,1500,POINT (100.14369569419982 6.453828069993586)
6.278956256,100.0533902,Kangar,Perlis,1502,POINT (100.05339015664906 6.278956256344459)
6.286273279,100.2780142,Kangar,Perlis,1502,POINT (100.27801423630989 6.286273278886297)
6.313537788,100.1157135,Kangar,Perlis,1502,POINT (100.11571346354889 6.313537788151907)
6.525968122,100.1753095,Kangar,Perlis,1502,POINT (100.17530952256 6.525968121709247)
6.578503351,100.0517727,Kangar,Perlis,1502,POINT (100.0517726520848 6.578503350666679)
6.392510839,100.1500896,Kangar,Perlis,1502,POINT (100.15008960292651 6.3925108391235295)
6.429486653,100.0584662,Kangar,Perlis,1502,POINT (100.05846617394056 6.429486653225417)
6.354486226,100.1319468,Kangar,Perlis,1502,POINT (100.13194683684809 6.354486225676739)
6.555441182,100.2937274,Kangar,Perlis,1503,POINT (100.29372742500772 6.555441181784895)
6.28632513,100.1823446,Kangar,Perlis,1503,POINT (100.18234459276336 6.286325129874824)
6.428922581,100.329827,Kangar,Perlis,1503,POINT (100.32982700524587 6.428922580553046)
6.48076714,100.2296888,Kangar,Perlis,1503,POINT (100.22968881355249 6.4807671399273294)
6.287031252,100.2030554,Kangar,Perlis,1503,POINT (100.20305537226066 6.287031252315316)
6.458818646,100.1520243,Kangar,Perlis,1503,POINT (100.15202425750417 6.458818646095111)
6.528008606,100.1049951,Kangar,Perlis,1503,POINT (100.10499512938436 6.528008606189014)
6.485071054,100.263169,Kangar,Perlis,1503,POINT (100.26316900681556 6.485071053789476)
6.44199146,100.0755104,Kangar,Perlis,1504,POINT (100.0755103970424 6.441991459651169)
6.452609574,100.0359001,Kangar,Perlis,1504,POINT (100.035900091507 6.452609574261783)
6.455401575,100.0997212,Kangar,Perlis,1504,POINT (100.09972123262804 6.455401574905939)
6.282477298,100.0687815,Kangar,Perlis,1504,POINT (100.0687815104132 6.282477297684748)
6.578660819,100.1377821,Kangar,Perlis,1504,POINT (100.13778205528362 6.578660818870972)
6.567134452,100.0586369,Kangar,Perlis,1504,POINT (100.05863685244844 6.567134452371388)
6.451222677,100.2272721,Kangar,Perlis,1504,POINT (100.2272720839179 6.451222677116152)
6.496637576,100.2743944,Kangar,Perlis,1504,POINT (100.27439440394838 6.496637576011181)
6.319238326,100.1234535,Kangar,Perlis,1505,POINT (100.12345350055752 6.3192383259584926)
6.458135119,100.0374286,Kangar,Perlis,1505,POINT (100.0374285694164 6.45813511893967)
6.470175721,100.3196034,Kangar,Perlis,1505,POINT (100.31960336161178 6.470175720710845)
6.504617023,100.1029952,Kangar,Perlis,1505,POINT (100.10299521708664 6.504617022771733)
6.374617807,100.2053099,Kangar,Perlis,1505,POINT (100.20530986542455 6.3746178066753405)
6.596892399,100.1226996,Kangar,Perlis,1505,POINT (100.1226995937172 6.59689239927117)
6.413403321,100.2462027,Kangar,Perlis,1505,POINT (100.24620265411352 6.413403320633615)
6.364254531,100.0359929,Kangar,Perlis,1505,POINT (100.03599293275094 6.364254530531331)
6.431881798,100.2465374,Kangar,Perlis,1506,POINT (100.2465374292592 6.43188179830903)
6.345195207,100.3224828,Kangar,Perlis,1506,POINT (100.32248279335718 6.345195207450393)
6.308914927,100.2570949,Kangar,Perlis,1506,POINT (100.25709486825272 6.308914926792474)
6.336893324,100.1976027,Kangar,Perlis,1506,POINT (100.19760270991294 6.336893323739307)
6.591926279,100.1337978,Kangar,Perlis,1506,POINT (100.13379782518317 6.591926279335685)
6.295999235,100.0656274,Kangar,Perlis,1506,POINT (100.06562735636008 6.295999234709378)
6.282971771,100.2042749,Kangar,Perlis,1506,POINT (100.20427488691544 6.282971771364708)
6.514236481,100.333311,Kangar,Perlis,1506,POINT (100.33331101066972 6.51423648072511)
6.466917525,100.2124771,Kangar,Perlis,1508,POINT (100.21247714002304 6.466917525270751)
6.449250201,100.0629188,Kangar,Perlis,1508,POINT (100.06291878464792 6.449250200747056)
6.540672715,100.288795,Kangar,Perlis,1508,POINT (100.28879495717844 6.5406727153737005)
6.318282686,100.2954094,Kangar,Perlis,1508,POINT (100.29540936770492 6.318282686291108)
6.339424932,100.2256934,Kangar,Perlis,1508,POINT (100.22569336462736 6.3394249319974)
6.367383551,100.215031,Kangar,Perlis,1508,POINT (100.2150309526066 6.367383550914615)
6.397053486,100.1731004,Kangar,Perlis,1508,POINT (100.1731004004391 6.397053486370017)
6.567554583,100.1774558,Kangar,Perlis,1508,POINT (100.1774558285622 6.567554582529847)
6.46306977,100.2222203,Kangar,Perlis,1512,POINT (100.22222027509346 6.463069770098539)
6.382277449,100.2219538,Kangar,Perlis,1512,POINT (100.22195377514818 6.382277448924798)
6.334834032,100.3126535,Kangar,Perlis,1512,POINT (100.3126534876717 6.334834031513627)
6.346132109,100.0874306,Kangar,Perlis,1512,POINT (100.08743063018662 6.346132108973565)
6.325443205,100.2228093,Kangar,Perlis,1512,POINT (100.22280927566136 6.325443204763232)
6.283219851,100.1550566,Kangar,Perlis,1512,POINT (100.15505657450136 6.28321985056256)
6.539010577,100.0800098,Kangar,Perlis,1512,POINT (100.08000977129625 6.539010577091491)
