nilai_hujan_max,tempoh_hujan,tempoh_ulang,kedalaman_banjir,distance
111,2,34,0.6,4245.737601
18,1,2,0.2,4532.533863
18,1,2,0.2,5266.664356
111,2,34,0.6,8652.136771
18,1,2,0.2,3753.26528
69,1,9,0.5,5992.257237
10,2,2,0.3,3435.00483
111,2,34,0.6,4621.877976
69,1,9,0.5,8075.071237
39.5,1,2,0.1,626.8755263
91,3,6,0.4,3858.643119
18,1,2,0.2,5450.544414
69,1,9,0.35,3637.831444
69,1,9,0.5,8897.298263
98,2,17,0.3,3059.26759
111,2,34,0.6,2082.355239
35,3,2,0.5,18446.63894
111,2,34,0.6,8538.936294
35,3,2,0.5,18007.76834
111,2,34,0.6,2716.90003
111,2,34,0.6,6894.082189
52,3,2,0.3,4084.279332
46,3,2,0.35,2561.774709
18,1,2,0.2,5135.61684
98,2,17,0.3,5951.30186
83,2,5,0.3,2221.954245
111,2,34,0.6,10331.5859
35,3,2,0.2,1128.831344
73,3,4,0.45,17541.07039
43,4,2,0.5,7440.475332
84.5,3,3,0.5,5960.070998
73,3,4,0.45,2043.6776
84.5,3,3,0.5,16336.59653
10,2,2,0.3,4032.861693
98,2,17,0.3,9801.754405
69,1,9,0.5,6184.678778
35,3,2,0.5,18453.28358
98,2,17,0.3,703.8333769
111,2,34,0.6,9186.149072
98,2,17,0.3,4879.185593
111,2,34,0.6,6394.104069
84.5,3,3,0.5,3476.784234
52,3,2,0.3,2684.183719
76,2,5,1,3726.658844
84.5,3,3,0.5,3062.371759
73,3,4,0.45,2129.972222
73,3,4,0.45,11353.09231
76,2,5,1,3675.803125
111,2,34,0.6,8050.735826
111,2,34,0.6,12492.53963
73,3,4,0.45,6481.525978
84.5,3,3,0.5,14701.82584
111,2,34,0.6,11196.97218
73,3,4,0.45,17874.27442
69,1,9,0.5,3204.062233
76,2,5,1,3836.74702
98,2,17,0.3,8934.046953
111,2,34,0.6,12625.02637
52,3,2,0.3,2447.683194
73,3,4,0.45,9314.905828
18,1,2,0.2,3507.535423
35,3,2,0.5,11218.60279
69,1,9,0.35,2396.257997
111,2,34,0.6,12083.02243
46,3,2,0.35,2848.605727
83,2,5,0.3,5783.48127
58.5,3,2,0.3,6067.85572
18,1,2,0.2,7640.115919
35,3,2,0.5,10944.0505
98,2,17,0.3,14268.12238
84.5,3,3,0.5,2641.26483
52,3,2,0.3,6894.537407
91,3,6,0.4,3355.481178
111,2,34,0.6,9670.567902
76,2,5,1,6055.321943
10,2,2,0.3,8082.318976
18,1,2,0.2,7971.909569
18,1,2,0.2,4626.138057
18,1,2,0.2,2925.270517
111,2,34,0.6,6631.286592
91,3,6,0.4,3838.554768
18,1,2,0.2,3686.025161
83,2,5,0.3,6646.175448
111,2,34,0.6,8461.995694
84.5,3,3,0.5,7797.568595
84.5,3,3,0.5,5530.144753
73,3,4,0.45,13925.7035
39.5,1,2,0.1,1708.808287
76,2,5,1,8084.116068
98,2,17,0.3,2773.487755
111,2,34,0.6,2458.510981
83,2,5,0.3,5113.425802
39.5,1,2,0.1,4480.371776
111,2,34,0.6,10000.32301
18,1,2,0.2,5524.858066
83,2,5,0.3,3288.856893
74.5,3,2,1,7803.570422
76,2,5,1,2126.135304
73,3,4,0.45,15392.82592
