discrete_classification,discrete_classification-proba,bare-coverfraction,urban-coverfraction,crops-coverfraction,grass-coverfraction,moss-coverfraction,water-permanent-coverfraction,water-seasonal-coverfraction,shrub-coverfraction,snow-coverfraction,tree-coverfraction,forest_type,data-density-indicator,system:index,name
112,96,0,0,0,5,0,0,0,0,0,95,2,77,0,node0
112,98,0,0,0,0,0,0,0,0,0,100,2,80,1,node1
112,100,0,0,0,0,0,0,0,0,0,100,2,76,2,node2
112,82,0,0,0,0,0,0,0,0,0,100,2,79,3,node3
112,100,0,0,0,0,0,0,0,0,0,100,2,79,4,node4
112,99,0,0,0,0,0,0,0,0,0,100,2,78,5,node5
112,100,0,0,0,0,0,0,0,0,0,100,2,67,6,node6
112,70,0,0,0,13,0,0,0,8,0,79,2,77,7,node7
112,98,0,0,0,10,0,0,0,0,0,90,2,82,8,node8
112,50,0,0,0,25,0,0,0,13,0,62,2,81,9,node9
112,99,0,0,0,13,0,0,0,0,0,87,2,79,10,node10
112,100,0,0,0,0,0,0,0,0,0,100,2,81,11,node11
112,98,0,0,0,0,0,0,0,0,0,100,2,82,12,node12
112,99,0,0,0,6,0,0,0,0,0,94,2,82,13,node13
112,98,0,0,0,0,0,0,0,0,0,100,2,82,14,node14
112,50,3,0,0,18,0,0,0,18,0,61,2,82,15,node15
122,36,4,0,0,27,0,0,0,20,0,49,2,86,16,node16
40,40,4,0,40,18,0,0,3,10,0,28,0,83,17,node17
112,97,0,0,0,0,0,0,0,0,0,100,2,83,18,node18
116,97,0,0,1,16,0,0,0,1,0,82,0,82,19,node19
112,74,0,6,0,12,0,0,0,10,0,72,2,82,20,node20
112,97,0,0,0,18,0,0,0,0,0,82,2,82,21,node21
112,98,0,0,0,0,0,0,0,0,0,100,2,82,22,node22
112,100,0,0,0,0,0,0,0,0,0,100,2,82,23,node23
112,98,0,0,0,0,0,0,0,0,0,100,2,86,24,node24
112,100,0,0,0,0,0,0,0,0,0,100,2,82,25,node25
112,99,0,0,0,0,0,0,0,0,0,100,2,82,26,node26
112,100,0,0,0,3,0,0,0,0,0,97,2,82,27,node27
112,97,0,0,0,11,0,0,0,15,0,74,2,79,28,node28
112,89,0,0,0,0,0,0,0,0,0,100,2,86,29,node29
112,98,0,0,0,0,0,0,0,0,0,100,2,82,30,node30
112,96,0,27,0,5,0,0,0,3,0,65,2,81,31,node31
122,39,2,17,4,13,0,0,0,17,0,47,2,86,32,node32
112,98,0,0,0,7,0,0,0,0,0,93,2,86,33,node33
122,36,3,0,12,14,0,0,0,14,0,57,2,86,34,node34
112,52,0,0,5,21,0,0,0,10,0,64,2,82,35,node35
112,99,0,0,0,0,0,0,0,0,0,100,2,82,36,node36
112,99,0,0,0,0,0,0,0,0,0,100,2,86,37,node37
112,99,0,0,0,7,0,0,0,0,0,93,2,82,38,node38
122,49,3,0,10,23,0,0,0,13,0,51,2,87,39,node39
112,92,0,0,1,18,0,0,0,0,0,81,2,77,40,node40
112,62,0,0,0,17,0,0,0,0,0,83,2,76,41,node41
112,83,0,10,0,9,0,0,0,0,0,81,2,75,42,node42
40,46,0,15,33,14,0,0,0,16,0,22,0,74,43,node43
40,54,0,0,34,20,0,0,0,30,0,16,0,75,44,node44
50,,0,100,0,0,0,0,0,0,0,0,,69,45,node45
112,80,0,0,0,12,0,0,0,0,0,88,2,76,46,node46
50,,0,98,0,2,0,0,0,0,0,0,,74,47,node47
50,,0,68,29,1,0,0,0,2,0,0,,80,48,node48
112,63,0,0,0,20,0,0,0,1,0,79,2,76,49,node49
40,76,0,0,81,8,0,0,0,8,0,3,0,76,50,node50
40,96,0,0,87,0,0,0,0,6,0,7,0,81,51,node51
50,,0,93,2,1,0,0,0,0,0,4,0,72,52,node52
112,86,0,0,0,0,0,0,0,0,0,100,2,77,53,node53
40,37,0,4,34,19,0,0,0,2,0,41,0,76,54,node54
50,,0,80,5,1,0,0,0,0,0,14,0,76,55,node55
40,98,0,0,96,0,0,0,0,4,0,0,,77,56,node56
112,98,0,0,0,8,0,0,0,2,0,90,2,76,57,node57
